filename U E #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
u100_01_simulated.txt 2.0 54000.0 37 37 37 37 37 37 37 37 37 37 
u100_02_simulated.txt 2.0 54000.0 36 36 36 36 36 36 36 36 36 36 
u100_03_simulated.txt 2.0 54000.0 37 37 37 37 37 37 37 37 37 37 
u100_04_simulated.txt 2.0 54000.0 31 31 31 31 31 31 31 31 31 31 
u100_05_simulated.txt 2.0 54000.0 34 34 34 34 34 34 34 34 34 34 
u100_06_simulated.txt 2.0 54000.0 31 31 31 31 31 31 31 31 31 31 
u100_07_simulated.txt 2.0 54000.0 50 50 50 50 50 50 50 50 50 50 
u100_08_simulated.txt 2.0 54000.0 28 28 28 28 28 28 28 28 28 28 
u100_09_simulated.txt 2.0 54000.0 33 33 33 33 33 33 33 33 33 33 
u100_010_simulated.txt 2.0 54000.0 48 48 48 48 48 48 48 48 48 48 
u100_01_simulated.txt 5.0 81000.0 32 32 32 32 32 32 32 32 32 32 
u100_02_simulated.txt 5.0 81000.0 29 29 29 29 29 29 29 29 29 29 
u100_03_simulated.txt 5.0 81000.0 32 32 32 32 32 32 32 32 32 32 
u100_04_simulated.txt 5.0 81000.0 21 21 21 21 21 21 21 21 21 21 
u100_05_simulated.txt 5.0 81000.0 26 26 26 26 26 26 26 26 26 26 
u100_06_simulated.txt 5.0 81000.0 21 21 21 21 21 21 21 21 21 21 
u100_07_simulated.txt 5.0 81000.0 42 42 42 42 42 42 42 42 42 42 
u100_08_simulated.txt 5.0 81000.0 19 19 19 19 19 19 19 19 19 19 
u100_09_simulated.txt 5.0 81000.0 25 25 25 25 25 25 25 25 25 25 
u100_010_simulated.txt 5.0 81000.0 42 42 42 42 42 42 42 42 42 42 
u100_01_simulated.txt 10.0 108000.0 21 21 21 21 21 21 21 21 21 21 
u100_02_simulated.txt 10.0 108000.0 20 20 20 20 20 20 20 20 20 20 
u100_03_simulated.txt 10.0 108000.0 18 18 18 18 18 18 18 18 18 18 
u100_04_simulated.txt 10.0 108000.0 17 17 17 17 17 17 17 17 17 17 
u100_05_simulated.txt 10.0 108000.0 22 22 22 22 22 22 22 22 22 22 
u100_06_simulated.txt 10.0 108000.0 16 16 16 16 16 16 16 16 16 16 
u100_07_simulated.txt 10.0 108000.0 35 35 35 35 35 35 35 35 35 35 
u100_08_simulated.txt 10.0 108000.0 13 13 13 13 13 13 13 13 13 13 
u100_09_simulated.txt 10.0 108000.0 15 15 15 15 15 15 15 15 15 15 
u100_010_simulated.txt 10.0 108000.0 35 35 35 35 35 35 35 35 35 35 
u100_01_simulated.txt 15.0 162000.0 7 7 7 7 7 7 7 7 7 7 
u100_02_simulated.txt 15.0 162000.0 19 19 19 19 19 19 19 19 19 19 
u100_03_simulated.txt 15.0 162000.0 10 10 10 10 10 10 10 10 10 10 
u100_04_simulated.txt 15.0 162000.0 6 6 6 6 6 6 6 6 6 6 
u100_05_simulated.txt 15.0 162000.0 11 11 11 11 11 11 11 11 11 11 
u100_06_simulated.txt 15.0 162000.0 10 10 10 10 10 10 10 10 10 10 
u100_07_simulated.txt 15.0 162000.0 21 21 21 21 21 21 21 21 21 21 
u100_08_simulated.txt 15.0 162000.0 12 12 12 12 12 12 12 12 12 12 
u100_09_simulated.txt 15.0 162000.0 13 13 13 13 13 13 13 13 13 13 
u100_010_simulated.txt 15.0 162000.0 21 21 21 21 21 21 21 21 21 21 
u100_01_simulated.txt 20.0 216000.0 9 9 9 9 9 9 9 9 9 9 
u100_02_simulated.txt 20.0 216000.0 20 20 20 20 20 20 20 20 20 20 
u100_03_simulated.txt 20.0 216000.0 10 10 10 10 10 10 10 10 10 10 
u100_04_simulated.txt 20.0 216000.0 6 6 6 6 6 6 6 6 6 6 
u100_05_simulated.txt 20.0 216000.0 4 4 4 4 4 4 4 4 4 4 
u100_06_simulated.txt 20.0 216000.0 9 9 9 9 9 9 9 9 9 9 
u100_07_simulated.txt 20.0 216000.0 14 14 14 14 14 14 14 14 14 14 
u100_08_simulated.txt 20.0 216000.0 6 6 6 6 6 6 6 6 6 6 
u100_09_simulated.txt 20.0 216000.0 14 14 14 14 14 14 14 14 14 14 
u100_010_simulated.txt 20.0 216000.0 19 19 19 19 19 19 19 19 19 19 
u100_01_simulated.txt 25.0 324000.0 5 5 5 5 5 5 5 5 5 5 
u100_02_simulated.txt 25.0 324000.0 12 12 12 12 12 12 12 12 12 12 
u100_03_simulated.txt 25.0 324000.0 10 10 10 10 10 10 10 10 10 10 
u100_04_simulated.txt 25.0 324000.0 4 4 4 4 4 4 4 4 4 4 
u100_05_simulated.txt 25.0 324000.0 5 5 5 5 5 5 5 5 5 5 
u100_06_simulated.txt 25.0 324000.0 7 7 7 7 7 7 7 7 7 7 
u100_07_simulated.txt 25.0 324000.0 10 10 10 10 10 10 10 10 10 10 
u100_08_simulated.txt 25.0 324000.0 3 3 3 3 3 3 3 3 3 3 
u100_09_simulated.txt 25.0 324000.0 6 6 6 6 6 6 6 6 6 6 
u100_010_simulated.txt 25.0 324000.0 22 22 22 22 22 22 22 22 22 22 
