filename T #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
g_250.txt 32000.0 14 14 14 14 14 14 14 14 14 14 
g_250.txt 72000.0 69 69 69 69 69 69 69 69 69 69 
g_250.txt 86400.0 80 80 80 80 80 80 80 80 80 80 
g_250.txt 129600.0 124 124 124 124 124 124 124 124 124 124 
g_250.txt 172800.0 139 139 139 139 139 139 139 139 139 139 
g_250.txt 216000.0 144 144 144 144 144 144 144 144 144 144 
g_250.txt 720000.0 244 244 244 244 244 244 244 244 244 244 
g_300.txt 32000.0 21 21 21 21 21 21 21 21 21 21 
g_300.txt 72000.0 60 60 60 60 60 60 60 60 60 60 
g_300.txt 86400.0 82 82 82 82 82 82 82 82 82 82 
g_300.txt 129600.0 98 98 98 98 98 98 98 98 98 98 
g_300.txt 172800.0 125 125 125 125 125 125 125 125 125 125 
g_300.txt 216000.0 141 141 141 141 141 141 141 141 141 141 
g_300.txt 720000.0 266 266 266 266 266 266 266 266 266 266 
g_350.txt 32000.0 28 28 28 28 28 28 28 28 28 28 
g_350.txt 72000.0 86 86 86 86 86 86 86 86 86 86 
g_350.txt 86400.0 109 109 109 109 109 109 109 109 109 109 
g_350.txt 129600.0 159 159 159 159 159 159 159 159 159 159 
g_350.txt 172800.0 195 195 195 195 195 195 195 195 195 195 
g_350.txt 216000.0 205 205 205 205 205 205 205 205 205 205 
g_350.txt 720000.0 261 261 261 261 261 261 261 261 261 261 
g_400.txt 32000.0 109 109 109 109 109 109 109 109 109 109 
g_400.txt 72000.0 217 217 217 217 217 217 217 217 217 217 
g_400.txt 86400.0 240 240 240 240 240 240 240 240 240 240 
g_400.txt 129600.0 280 280 280 280 280 280 280 280 280 280 
g_400.txt 172800.0 304 304 304 304 304 304 304 304 304 304 
g_400.txt 216000.0 309 309 309 309 309 309 309 309 309 309 
g_400.txt 720000.0 362 362 362 362 362 362 362 362 362 362 
g_450.txt 32000.0 159 159 159 159 159 159 159 159 159 159 
g_450.txt 72000.0 258 258 258 258 258 258 258 258 258 258 
g_450.txt 86400.0 280 280 280 280 280 280 280 280 280 280 
g_450.txt 129600.0 312 312 312 312 312 312 312 312 312 312 
g_450.txt 172800.0 340 340 340 340 340 340 340 340 340 340 
g_450.txt 216000.0 364 364 364 364 364 364 364 364 364 364 
g_450.txt 720000.0 447 447 447 447 447 447 447 447 447 447 
g_475.txt 32000.0 187 187 187 187 187 187 187 187 187 187 
g_475.txt 72000.0 312 312 312 312 312 312 312 312 312 312 
g_475.txt 86400.0 335 335 335 335 335 335 335 335 335 335 
g_475.txt 129600.0 367 367 367 367 367 367 367 367 367 367 
g_475.txt 172800.0 388 388 388 388 388 388 388 388 388 388 
g_475.txt 216000.0 402 402 402 402 402 402 402 402 402 402 
g_475.txt 720000.0 469 469 469 469 469 469 469 469 469 469 
g_500.txt 32000.0 252 252 252 252 252 252 252 252 252 252 
g_500.txt 72000.0 351 351 351 351 351 351 351 351 351 351 
g_500.txt 86400.0 377 377 377 377 377 377 377 377 377 377 
g_500.txt 129600.0 402 402 402 402 402 402 402 402 402 402 
g_500.txt 172800.0 421 421 421 421 421 421 421 421 421 421 
g_500.txt 216000.0 429 429 429 429 429 429 429 429 429 429 
g_500.txt 720000.0 478 478 478 478 478 478 478 478 478 478 
